"Group","VendorFolder","ContractLocation","FilePath","Exists","SHA256","GroupVerdict","DocCounterparty","FolderFileCount","Classification","KeepFolder","RecommendedAction"
"CVL T1 Lighthouse NDA DCS.pdf","Anheuser-Busch","01 Active Contracts","Anheuser-Busch/CVL T1 Lighthouse NDA DCS.pdf","TRUE","4a453c7917880c9518965cd16f61b3d260253f7eb4447443439bb2f8f71a2294","IDENTICAL","Anheuser-Busch, LLC","1","DUPLICATE-ALIAS-PAIR","Anheuser-Busch","Merge 'CVL Lighthouse' (project-named folder) into 'Anheuser-Busch'; delete twin"
"CVL T1 Lighthouse NDA DCS.pdf","CVL Lighthouse","01 Active Contracts","CVL Lighthouse/CVL T1 Lighthouse NDA DCS.pdf","TRUE","4a453c7917880c9518965cd16f61b3d260253f7eb4447443439bb2f8f71a2294","IDENTICAL","Anheuser-Busch, LLC","1","DUPLICATE-ALIAS-PAIR","Anheuser-Busch","Merge 'CVL Lighthouse' (project-named folder) into 'Anheuser-Busch'; delete twin"
"CW2333327 - NDA - Mutual - Winery  NC(FINAL 012020).DOCX - signed.pdf","EJ Gallo","01 Active Contracts","EJ Gallo/CW2333327 - NDA - Mutual - Winery  NC(FINAL 012020).DOCX - signed.pdf","TRUE","8393634c2db7e4317f50f34b09b13767855ba127ecef7498bc5bc8452f026e84","IDENTICAL","E. & J. Gallo Winery","1","DUPLICATE-ALIAS-PAIR","EJ Gallo","Merge 'Winery NC' (filename-derived folder) into 'EJ Gallo'; delete twin"
"CW2333327 - NDA - Mutual - Winery  NC(FINAL 012020).DOCX - signed.pdf","Winery NC","01 Active Contracts","Winery NC/CW2333327 - NDA - Mutual - Winery  NC(FINAL 012020).DOCX - signed.pdf","TRUE","8393634c2db7e4317f50f34b09b13767855ba127ecef7498bc5bc8452f026e84","IDENTICAL","E. & J. Gallo Winery","1","DUPLICATE-ALIAS-PAIR","EJ Gallo","Merge 'Winery NC' (filename-derived folder) into 'EJ Gallo'; delete twin"
"DCS - AEO Mutual Confidentiality and Non-Disclosure Agreement (10.27.23.pdf","AEO","01 Active Contracts","AEO/DCS - AEO Mutual Confidentiality and Non-Disclosure Agreement (10.27.23.pdf","TRUE","19e1528338ddf1e37ee83d7cc3d4c92a6f82871184bdea1ef9d67595f5ff144d","IDENTICAL","AMERICAN EAGLE OUTFITTERS, INC.","1","DUPLICATE-ALIAS-PAIR","American Eagle","Merge 'AEO' into 'American Eagle' (or vice versa); delete twin"
"DCS - AEO Mutual Confidentiality and Non-Disclosure Agreement (10.27.23.pdf","American Eagle","01 Active Contracts","American Eagle/DCS - AEO Mutual Confidentiality and Non-Disclosure Agreement (10.27.23.pdf","TRUE","19e1528338ddf1e37ee83d7cc3d4c92a6f82871184bdea1ef9d67595f5ff144d","IDENTICAL","AMERICAN EAGLE OUTFITTERS, INC.","1","DUPLICATE-ALIAS-PAIR","American Eagle","Merge 'AEO' into 'American Eagle' (or vice versa); delete twin"
"DCS TSC NDA 2021.03.21.pdf","TSC","03 Archived Contracts","TSC/DCS TSC NDA 2021.03.21.pdf","TRUE","3190ddc4e8974d50d16f984cf3db8f9e22231ad02fab176f32bb78504fb51493","IDENTICAL","(scanned image PDF - no extractable text; filename/catalog = Tractor Supply / TSC)","1","DUPLICATE-ALIAS-PAIR","Tractor Supply","CROSS-LOCATION: same file in 02 Unsigned and 03 Archived. Decide correct location first, then merge 'TSC' into 'Tractor Supply'"
"DCS TSC NDA 2021.03.21.pdf","Tractor Supply","02 Unsigned Contracts","Tractor Supply/DCS TSC NDA 2021.03.21.pdf","TRUE","3190ddc4e8974d50d16f984cf3db8f9e22231ad02fab176f32bb78504fb51493","IDENTICAL","(scanned image PDF - no extractable text; filename/catalog = Tractor Supply / TSC)","1","DUPLICATE-ALIAS-PAIR","Tractor Supply","CROSS-LOCATION: same file in 02 Unsigned and 03 Archived. Decide correct location first, then merge 'TSC' into 'Tractor Supply'"
"DCS Vendor Mutual NDA Advanced Machine Guarding Solutions - signed 3.24.2025.pdf","Advanced Machine Guarding","01 Active Contracts","Advanced Machine Guarding/DCS Vendor Mutual NDA Advanced Machine Guarding Solutions - signed 3.24.2025.pdf","TRUE","c1c7884575fe9e1c57fa03f8acb76f16b217c46b6c23cd914f9d50a4825c4677","IDENTICAL","Advanced Machine Guarding Solutions","1","DUPLICATE-ALIAS-PAIR","Advanced Machine Guarding Solutions","Merge 'Advanced Machine Guarding' into 'Advanced Machine Guarding Solutions'; delete twin"
"DCS Vendor Mutual NDA Advanced Machine Guarding Solutions - signed 3.24.2025.pdf","Advanced Machine Guarding Solutions","01 Active Contracts","Advanced Machine Guarding Solutions/DCS Vendor Mutual NDA Advanced Machine Guarding Solutions - signed 3.24.2025.pdf","TRUE","c1c7884575fe9e1c57fa03f8acb76f16b217c46b6c23cd914f9d50a4825c4677","IDENTICAL","Advanced Machine Guarding Solutions","1","DUPLICATE-ALIAS-PAIR","Advanced Machine Guarding Solutions","Merge 'Advanced Machine Guarding' into 'Advanced Machine Guarding Solutions'; delete twin"
