"_group","_needs","ContractLocation","VendorFolder","Filename","FilePath","DocType","SigningStatus","CounterpartyName","EffectiveDate","ExpirationDate","ManualReviewNote"
"G1","G1","01 Active Contracts","Action Electric","DCS Action Electric MNDA 052026.pdf","Action Electric/DCS Action Electric MNDA 052026.pdf","MNDA","Review","Action Electric","","","Status=unknown-needs-review"
"G1","G1","01 Active Contracts","AES","AES Mutual NDA - DCS 02.03.25.pdf","AES/AES Mutual NDA - DCS 02.03.25.pdf","MNDA","Review","AES","","","Status=unknown-needs-review"
"G1","G1","01 Active Contracts","Agile","DCS & Agile Non-Disclosure Agreement.pdf","Agile/DCS & Agile Non-Disclosure Agreement.pdf","NDA","Review","Agile","","","Status=unknown-needs-review"
"G1","G1","01 Active Contracts","Alba Manufacturing","Alba Manufacturing NDA_Signed.pdf","Alba Manufacturing/Alba Manufacturing NDA_Signed.pdf","NDA","Review","Alba Manufacturing","2022-04-11","","Status=unknown-needs-review"
"G1","G1","01 Active Contracts","Army & Air Force Exchange Service","AAFES and DCS NDA.pdf","Army & Air Force Exchange Service/AAFES and DCS NDA.pdf","NDA","Review","AAFES","","","Status=unknown-needs-review"
"G1","G1","01 Active Contracts","Beumer","DCS_BEUMER_MNDA_09152021_Signed.pdf","Beumer/DCS_BEUMER_MNDA_09152021_Signed.pdf","MNDA","Review","Beumer","","","Status=unknown-needs-review"
"G1","G1","01 Active Contracts","Conveyor Concepts of Michigan","MNDA DCS_11-16-22 - signed.pdf","Conveyor Concepts of Michigan/MNDA DCS_11-16-22 - signed.pdf","MNDA","Review","Conveyor Concepts of Michigan","2022-12-13","","Status=unknown-needs-review"
"G1","G1","01 Active Contracts","Diversified Automation","Mutual NDA- DCS_Diversifed_Final.pdf","Diversified Automation/Mutual NDA- DCS_Diversifed_Final.pdf","MNDA","Review","Diversified Automation","","","Status=unknown-needs-review"
"G1","G1","01 Active Contracts","Diversified Automation","Mutual NDA- Diversifed_Final_MS_11_15_23.pdf","Diversified Automation/Mutual NDA- Diversifed_Final_MS_11_15_23.pdf","MNDA","Review","Diversified Automation","","","Status=unknown-needs-review"
"G1","G1","01 Active Contracts","DJH","DSC Mutual Nondisclosure Agreement - DJH Signed - signed.pdf","DJH/DSC Mutual Nondisclosure Agreement - DJH Signed - signed.pdf","MNDA","Review","DJH","2023-04-04","","Status=unknown-needs-review"
"G1","G1","01 Active Contracts","McKesson","McKesson_DCS_MNDA_REDLINED 05.26.26.docx.pdf","McKesson/McKesson_DCS_MNDA_REDLINED 05.26.26.docx.pdf","MNDA","Review","McKesson","","","Status=unknown-needs-review"
"G1","G1","01 Active Contracts","Melaleuca","FORM Mutual NDA.pdf","Melaleuca/FORM Mutual NDA.pdf","MNDA","Review","Melaleuca","","","Status=unknown-needs-review"
"G1","G1","01 Active Contracts","Meyn","NDA Mutual (Meyn America) GC.pdf","Meyn/NDA Mutual (Meyn America) GC.pdf","NDA","Review","Meyn America","2023-08-08","","Status=unknown-needs-review"
"G1","G1","01 Active Contracts","New Era","New Era - DCS Mutual Non-Disclosure Agreement 05.2026.pdf","New Era/New Era - DCS Mutual Non-Disclosure Agreement 05.2026.pdf","MNDA","Review","New Era","2026-05-18","","Status=unknown-needs-review"
"G1","G1","01 Active Contracts","Orvis","NDA (Mutual) - Short Form - 2021.pdf","Orvis/NDA (Mutual) - Short Form - 2021.pdf","NDA","Review","Orvis","","","Status=unknown-needs-review"
"G1","G1","01 Active Contracts","PAR Industries LLC","PAR Industries_DCS MNDA Signed.pdf","PAR Industries LLC/PAR Industries_DCS MNDA Signed.pdf","MNDA","Review","PAR Industries","","","Status=unknown-needs-review"
"G1","G1","01 Active Contracts","Rehan Qazi","Mutual NDA Rehan Qazi - signed.pdf","Rehan Qazi/Mutual NDA Rehan Qazi - signed.pdf","MNDA","Review","Rehan Qazi","2024-05-09","","Status=unknown-needs-review"
"G1","G1","01 Active Contracts","Rent the Runway","RTR NDA (TWO-WAY)_DocuSign Powerform.doc.pdf","Rent the Runway/RTR NDA (TWO-WAY)_DocuSign Powerform.doc.pdf","NDA","Review","Rent the Runway","","","Status=unknown-needs-review"
"G1","G1","01 Active Contracts","Schmalz","DCS Schmalz Vendor Mutual NDA 10.06.25.pdf","Schmalz/DCS Schmalz Vendor Mutual NDA 10.06.25.pdf","MNDA","Review","Schmalz","","","Status=unknown-needs-review"
"G1","G1","01 Active Contracts","Steele Solutions","MNDA DCS to Steele Solutions for DCS Signature - signed 2.6.2025.pdf","Steele Solutions/MNDA DCS to Steele Solutions for DCS Signature - signed 2.6.2025.pdf","MNDA","Review","Steele Solutions","2025-02-06","","Status=unknown-needs-review"
"G1","G1","01 Active Contracts","Tiffany and Company","Confidentiality MNDA Mutual Agreement with LVMH and Tiffany Supplier Code of Conduct updated 1.11.23.pdf","Tiffany and Company/Confidentiality MNDA Mutual Agreement with LVMH and Tiffany Supplier Code of Conduct updated 1.11.23.pdf","MNDA","Review","Tiffany and Company","","","Status=unknown-needs-review"
"G1","G1","01 Active Contracts","Tompkins Robotics","Mutual NDA DCS Tompkins Robotics 20250624.docx.pdf","Tompkins Robotics/Mutual NDA DCS Tompkins Robotics 20250624.docx.pdf","MNDA","Review","Tompkins Robotics","2025-06-24","","Status=unknown-needs-review"
