"ContractLocation","VendorFolder","Filename","FilePath","Extension","FileCreatedDate","DocType","HasSignedKeyword","SigningStatus","IsAmendment","AmendmentNumber","VersionLabel","DateInFilename","CounterpartyName","EffectiveDate","ExpirationDate","Notes"
"01 Active Contracts","6sense","6sense-dcs-MNDA-10.31.2024.pdf","6sense/6sense-dcs-MNDA-10.31.2024.pdf",".pdf","2026-01-14","MNDA","True","Signed","False","","Final","10.31.2024","6sense","2026-01-14","",""
"01 Active Contracts","A-LIGN","Designed Conveyor Systems-2025-2027-MSA-Executed.pdf","A-LIGN/Designed Conveyor Systems-2025-2027-MSA-Executed.pdf",".pdf","2026-01-14","MSA","True","Signed","False","","","","A-LIGN","2026-01-14","",""
"01 Active Contracts","A-LIGN","Designed Conveyor Systems-2025-2027-Type 2 SOC 2-SOW-Executed.pdf","A-LIGN/Designed Conveyor Systems-2025-2027-Type 2 SOC 2-SOW-Executed.pdf",".pdf","2026-01-14","SOW","True","Signed","False","","","","A-LIGN","2026-01-14","",""
"01 Active Contracts","A-Line Striping","Mutual NDA A-Line Striping - signed.pdf","A-Line Striping/Mutual NDA A-Line Striping - signed.pdf",".pdf","2026-01-14","MNDA","True","Signed","False","","","","A-Line Striping","2026-01-14","",""
"01 Active Contracts","A. Land Electric","Mutual NDA-A. Land Electric - signed.pdf","A. Land Electric/Mutual NDA-A. Land Electric - signed.pdf",".pdf","2026-01-14","MNDA","True","Signed","False","","","","A. Land Electric","2026-01-14","",""
"01 Active Contracts","AAFES","AAFES-DCS MNDA.pdf","AAFES/AAFES-DCS MNDA.pdf",".pdf","2026-05-16","MNDA","False","Signed","False","","","","AAFES","2026-05-16","",""
"01 Active Contracts","ACE","Mutual NDA ACE - signed.pdf","ACE/Mutual NDA ACE - signed.pdf",".pdf","2026-01-14","MNDA","True","Signed","False","","","","ACE","2026-01-14","",""
"01 Active Contracts","ACI for Signature","Mutual NDA DCS to ACI for Signature - signed.pdf","ACI for Signature/Mutual NDA DCS to ACI for Signature - signed.pdf",".pdf","2026-01-14","MNDA","True","Signed","False","","","","ACI for Signature","2026-01-14","",""
"01 Active Contracts","Adaptec Solutions","DCS Adaptec Solutions LLC NDA signed - signed3.28.2024.pdf","Adaptec Solutions/DCS Adaptec Solutions LLC NDA signed - signed3.28.2024.pdf",".pdf","2026-01-14","MNDA","True","Signed","False","","","","Adaptec Solutions","2026-01-14","",""
"01 Active Contracts","Addverb","Addverb - DCS Mutual NDA (Final) 04.16.2025 - unsigned.pdf","Addverb/Addverb - DCS Mutual NDA (Final) 04.16.2025 - unsigned.pdf",".pdf","2026-01-14","MNDA","True","Signed","False","","Final","04.16.2025","Addverb","2026-01-14","",""
